Time_Sec,Raw_BPM,BPM_Status,Accel_G,Motion_Status
     6.467,      70,NORMAL    ,   0.910,STILL       
     6.548,      70,NORMAL    ,   0.990,STILL       
     6.573,      70,NORMAL    ,   0.990,STILL       
     6.618,      70,NORMAL    ,   0.980,STILL       
     6.648,      70,NORMAL    ,   0.940,STILL       
     6.708,      70,NORMAL    ,   0.940,STILL       
     6.768,      70,NORMAL    ,   0.940,STILL       
     6.798,      70,NORMAL    ,   0.950,STILL       
     6.858,      70,NORMAL    ,   0.950,STILL       
     6.918,      70,NORMAL    ,   0.960,STILL       
     6.947,      70,NORMAL    ,   0.960,STILL       
     7.007,      70,NORMAL    ,   0.950,STILL       
     7.067,      70,NORMAL    ,   0.970,STILL       
     7.097,      70,NORMAL    ,   0.970,STILL       
     7.158,      70,NORMAL    ,   0.990,STILL       
     7.218,      70,NORMAL    ,   0.970,STILL       
     7.247,      69,NORMAL    ,   0.970,STILL       
     7.308,      69,NORMAL    ,   0.970,STILL       
     7.368,      69,NORMAL    ,   0.970,STILL       
     7.398,      69,NORMAL    ,   0.990,STILL       
     7.459,      69,NORMAL    ,   0.980,STILL       
     7.518,      69,NORMAL    ,   0.980,STILL       
     7.547,      69,NORMAL    ,   0.950,STILL       
     7.608,      69,NORMAL    ,   0.940,STILL       
     7.668,      69,NORMAL    ,   0.940,STILL       
     7.698,      69,NORMAL    ,   0.960,STILL       
     7.757,      69,NORMAL    ,   0.960,STILL       
     7.818,      69,NORMAL    ,   0.970,STILL       
     7.847,      69,NORMAL    ,   0.970,STILL       
     7.908,      69,NORMAL    ,   0.970,STILL       
     7.968,      69,NORMAL    ,   1.000,STILL       
     7.997,      69,NORMAL    ,   1.040,STILL       
     8.058,      69,NORMAL    ,   1.040,STILL       
     8.118,      69,NORMAL    ,   1.210,LOW_MOTION  
     8.147,      69,NORMAL    ,   1.210,LOW_MOTION  
     8.240,      69,NORMAL    ,   1.450,LOW_MOTION  
     8.267,      69,NORMAL    ,   1.280,LOW_MOTION  
     8.298,      67,NORMAL    ,   1.280,LOW_MOTION  
     8.358,      67,NORMAL    ,   0.580,LOW_MOTION  
     8.418,      67,NORMAL    ,   0.500,LOW_MOTION  
     8.447,      67,NORMAL    ,   0.500,LOW_MOTION  
     8.508,      67,NORMAL    ,   0.860,LOW_MOTION  
     8.568,      67,NORMAL    ,   0.860,LOW_MOTION  
     8.598,      67,NORMAL    ,   1.670,HIGH_MOTION 
     8.658,      67,NORMAL    ,   2.210,HIGH_MOTION 
     8.718,      67,NORMAL    ,   2.210,HIGH_MOTION 
     8.747,      67,NORMAL    ,   2.050,HIGH_MOTION 
     8.808,      67,NORMAL    ,   1.440,LOW_MOTION  
     8.868,      67,NORMAL    ,   1.440,LOW_MOTION  
     8.897,      67,NORMAL    ,   0.790,LOW_MOTION  
     8.958,      67,NORMAL    ,   0.790,LOW_MOTION  
     9.020,      67,NORMAL    ,   0.670,LOW_MOTION  
     9.047,      67,NORMAL    ,   0.630,LOW_MOTION  
     9.108,      67,NORMAL    ,   0.630,LOW_MOTION  
     9.168,      67,NORMAL    ,   1.070,STILL       
     9.200,      67,NORMAL    ,   2.160,HIGH_MOTION 
     9.258,      67,NORMAL    ,   2.160,HIGH_MOTION 
     9.318,      67,NORMAL    ,   2.380,HIGH_MOTION 
     9.348,      67,NORMAL    ,   2.380,HIGH_MOTION 
     9.408,      67,NORMAL    ,   1.630,HIGH_MOTION 
